Requêtes, Résultats
Requête 1, http://db.uwaterloo.ca/~galuc/wsdbm/User207, 
Requête 2, http://db.uwaterloo.ca/~galuc/wsdbm/User207, 
Requête 3, http://db.uwaterloo.ca/~galuc/wsdbm/User207, 
Requête 4, http://db.uwaterloo.ca/~galuc/wsdbm/User207, 
Requête 5, http://db.uwaterloo.ca/~galuc/wsdbm/User207, 
Requête 6, http://db.uwaterloo.ca/~galuc/wsdbm/User207, 
Requête 7, http://db.uwaterloo.ca/~galuc/wsdbm/User207, 
Requête 8, http://db.uwaterloo.ca/~galuc/wsdbm/User207, 
Requête 9, http://db.uwaterloo.ca/~galuc/wsdbm/User207, 
Requête 10, http://db.uwaterloo.ca/~galuc/wsdbm/User207, 
Requête 11, http://db.uwaterloo.ca/~galuc/wsdbm/User207, 
Requête 12, http://db.uwaterloo.ca/~galuc/wsdbm/User207, 
Requête 13, NO RESULT
Requête 14, NO RESULT
Requête 15, NO RESULT
Requête 16, NO RESULT
Requête 17, NO RESULT
Requête 18, NO RESULT
Requête 19, NO RESULT
Requête 20, NO RESULT
Requête 21, NO RESULT
Requête 22, NO RESULT
Requête 23, NO RESULT
Requête 24, NO RESULT
Requête 25, NO RESULT
Requête 26, NO RESULT
Requête 27, NO RESULT
Requête 28, NO RESULT
Requête 29, NO RESULT
Requête 30, NO RESULT
Requête 31, NO RESULT
Requête 32, NO RESULT
Requête 33, NO RESULT
Requête 34, NO RESULT
Requête 35, NO RESULT
Requête 36, NO RESULT
Requête 37, NO RESULT
Requête 38, NO RESULT
Requête 39, NO RESULT
Requête 40, NO RESULT
Requête 41, NO RESULT
Requête 42, NO RESULT
Requête 43, http://db.uwaterloo.ca/~galuc/wsdbm/User233, 
Requête 44, NO RESULT
Requête 45, NO RESULT
Requête 46, NO RESULT
Requête 47, NO RESULT
Requête 48, NO RESULT
Requête 49, NO RESULT
Requête 50, NO RESULT
Requête 51, NO RESULT
Requête 52, NO RESULT
Requête 53, http://db.uwaterloo.ca/~galuc/wsdbm/User312, 
Requête 54, NO RESULT
Requête 55, NO RESULT
Requête 56, NO RESULT
Requête 57, NO RESULT
Requête 58, NO RESULT
Requête 59, NO RESULT
Requête 60, NO RESULT
Requête 61, NO RESULT
Requête 62, NO RESULT
Requête 63, NO RESULT
Requête 64, NO RESULT
Requête 65, NO RESULT
Requête 66, NO RESULT
Requête 67, http://db.uwaterloo.ca/~galuc/wsdbm/User845, 
Requête 68, NO RESULT
Requête 69, NO RESULT
Requête 70, NO RESULT
Requête 71, NO RESULT
