Requêtes, Résultats
Requête 1,http://db.uwaterloo.ca/~galuc/wsdbm/User7932,http://db.uwaterloo.ca/~galuc/wsdbm/User8587,
Requête 2,http://db.uwaterloo.ca/~galuc/wsdbm/User2906,http://db.uwaterloo.ca/~galuc/wsdbm/User3836,http://db.uwaterloo.ca/~galuc/wsdbm/User5908,http://db.uwaterloo.ca/~galuc/wsdbm/User6051,
Requête 3,NO RESULT
Requête 4,http://db.uwaterloo.ca/~galuc/wsdbm/User7870,http://db.uwaterloo.ca/~galuc/wsdbm/User6193,http://db.uwaterloo.ca/~galuc/wsdbm/User8548,http://db.uwaterloo.ca/~galuc/wsdbm/User15105,http://db.uwaterloo.ca/~galuc/wsdbm/User17975,
Requête 5,http://db.uwaterloo.ca/~galuc/wsdbm/User3175,http://db.uwaterloo.ca/~galuc/wsdbm/User7220,http://db.uwaterloo.ca/~galuc/wsdbm/User7676,http://db.uwaterloo.ca/~galuc/wsdbm/User8220,http://db.uwaterloo.ca/~galuc/wsdbm/User16540,http://db.uwaterloo.ca/~galuc/wsdbm/User18667,
Requête 6,http://db.uwaterloo.ca/~galuc/wsdbm/User10863,
Requête 7,http://db.uwaterloo.ca/~galuc/wsdbm/User1038,http://db.uwaterloo.ca/~galuc/wsdbm/User13070,http://db.uwaterloo.ca/~galuc/wsdbm/User18050,
Requête 8,NO RESULT
Requête 9,http://db.uwaterloo.ca/~galuc/wsdbm/User12286,
Requête 10,http://db.uwaterloo.ca/~galuc/wsdbm/User18579,http://db.uwaterloo.ca/~galuc/wsdbm/User2272,http://db.uwaterloo.ca/~galuc/wsdbm/User3780,http://db.uwaterloo.ca/~galuc/wsdbm/User12530,http://db.uwaterloo.ca/~galuc/wsdbm/User18322,
Requête 11,http://db.uwaterloo.ca/~galuc/wsdbm/User7031,http://db.uwaterloo.ca/~galuc/wsdbm/User10215,
Requête 12,http://db.uwaterloo.ca/~galuc/wsdbm/User5213,http://db.uwaterloo.ca/~galuc/wsdbm/User6291,http://db.uwaterloo.ca/~galuc/wsdbm/User7031,http://db.uwaterloo.ca/~galuc/wsdbm/User7238,
Requête 13,http://db.uwaterloo.ca/~galuc/wsdbm/User19266,
Requête 14,NO RESULT
